Price,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
2016-03-10,712.47802734375,715.4128466708385,705.2048155649526,712.0101696355431,1140147
2016-03-11,724.4299926757812,729.8317741633215,707.3315596274648,716.2635877406198,1527676
2016-03-14,729.1511840820312,731.5755707283616,718.8155317040298,727.3647474661858,825367
2016-03-15,715.2427368164062,728.8534456118497,710.7767229929013,724.8552895190414,1330602
2016-03-16,718.0925903320312,719.5386867664855,706.9062670229985,718.7305923780809,1511400
2016-03-17,722.771240234375,727.3223005278627,717.1142682397524,721.4526611939044,1970969
2016-03-18,721.665283203125,724.7702469306873,712.8608766759577,723.0689083228688,1848223
2016-03-21,748.2913208007812,751.1410423789979,720.601991688386,720.601991688386,1587554
2016-03-22,740.2098388671875,749.1418656327318,733.617152445,745.2287560877705,2024654
2016-03-23,743.144775390625,746.3347856763346,732.0435499805035,740.0823862846398,1373555
2016-03-28,734.6806640625,745.2714567863286,731.7458441845001,745.1864106127741,2033190
2016-03-29,732.5537719726562,741.2305559162879,730.384524066023,731.8306720302033,1389839
2016-03-30,732.9791870117188,747.695754792734,730.6398465519388,733.276900483762,1453623
2016-03-31,739.656982421875,744.9311426519284,727.7476118020863,727.7476118020863,2635929
2016-04-01,738.2108154296875,744.2505986716396,728.1729279749276,737.6153365296733,1096484
2016-04-04,741.9537963867188,744.2931370327942,732.6814799667071,734.2126743690823,960124
2016-04-05,738.8064575195312,751.0135440228568,733.5322962584436,740.2526060473571,1096886
2016-04-06,741.5284423828125,742.5492559313489,734.1276090568413,739.2316248787891,1041648
2016-04-07,731.5755615234375,744.2079792302882,727.3647383142436,740.0822540992915,848064
2016-04-08,723.4091796875,734.1275918947267,719.4960698297119,732.4262533271839,712487
2016-04-11,735.2334594726562,738.2533250783183,718.9005986647555,725.6209068469893,943737
2016-04-12,742.2090454101562,743.8253380251904,731.7458222601551,737.4453175775386,867406
2016-04-13,763.6458740234375,765.2621146109032,743.0596656888939,744.3356696940838,1897529
2016-04-18,764.8792724609375,769.8131436981198,754.1182857426794,765.7724647841009,1091523
2016-04-20,769.0902099609375,770.7065026442717,759.77542125034,764.8368628161015,1424850
2016-04-21,769.0475463867188,771.4719849688322,762.1996691186275,769.8556925807566,1162870
2016-04-22,752.1618041992188,769.2602363326251,751.1409906567616,763.7308858917769,1078366
2016-04-25,752.1193237304688,756.2450492940935,744.7610131124623,749.0143598463998,828061
2016-04-26,753.4804077148438,762.1997689105278,749.1845377050204,749.9501089990274,1214609
2016-04-27,758.9671630859375,760.4983574483309,749.354610339026,752.3319529017431,778693
2016-04-28,745.3991088867188,762.8803557780304,740.933094254302,759.8179665126704,2715410
2016-04-29,738.2958374023438,748.0359584426243,730.895004798223,745.1862373216151,1581281
2016-05-02,734.935791015625,737.5303221337939,727.3222899935338,737.5303221337939,787156
2016-05-03,723.9195556640625,739.2316026698828,721.3675478297591,734.9357331996187,1305303
2016-05-04,725.9612426757812,728.0879160467312,717.9649300327146,723.0689461229946,568460
2016-05-05,723.1965942382812,733.1919594541517,720.34682066259,730.7249974836415,760873
2016-05-06,725.9612426757812,728.5982968874646,720.3042707407596,721.3676074262346,411253
2016-05-09,719.2410278320312,739.8272391310647,713.8818206226355,723.9197098581415,3215773
2016-05-10,733.6598510742188,738.2960097936453,719.3260402062804,722.0481927322434,1523285
