Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2016-03-10,436.0535888671875,443.83958786826423,434.8513311422236,443.83958786826423,24381016
2016-03-11,436.24432373046875,441.1868807657419,434.41230793440695,437.46563653444525,4058548
2016-03-14,435.55731201171875,440.53807299349324,434.52683223139877,437.38932783239613,4174262
2016-03-15,432.9620666503906,440.6335465358084,430.881958290421,436.62605217580324,6720258
2016-03-16,439.85107421875,440.82434140073957,431.8742900750068,435.82452485525323,5588850
2016-03-17,443.4006042480469,446.45393313462694,440.4617938307541,441.549532928578,6474622
2016-03-18,455.48046875,457.61779022870843,443.4961403217341,443.8014919287413,8477422
2016-03-21,456.0528259277344,457.61764759816526,450.3850937388045,453.4193205559803,5138392
2016-03-22,454.1636657714844,455.70943248253246,447.31277627263654,454.65985045629543,7097950
2016-03-23,460.9762878417969,462.0830821483732,451.1674421045073,454.1826133092009,6333176
2016-03-28,459.8694763183594,472.12094836037863,456.3772223135996,470.3652936828787,10787510
2016-03-29,456.94970703125,465.2127868501895,454.7742290457994,457.61762266065466,6995356
2016-03-30,460.27020263671875,461.81596893738345,456.30091257247653,457.08330010298056,5756818
2016-03-31,464.98382568359375,469.41114310098516,458.1138359217486,461.91139495961755,17996320
2016-04-01,460.07940673828125,466.4723142624589,456.1291717055413,464.1060029492521,5511428
2016-04-04,474.6781005859375,476.3192834196571,463.17090516963333,463.17090516963333,4577054
2016-04-05,465.55633544921875,474.14382284739594,463.34265339498165,474.0293043793799,4790716
2016-04-06,458.2664794921875,468.68598292784543,456.47266741181033,468.68598292784543,4931354
2016-04-07,450.9385986328125,461.20542835136166,448.45776842450675,461.20542835136166,5657890
2016-04-08,444.92730712890625,449.41188431849633,443.51516103290726,448.78212586321365,4195578
2016-04-11,451.8544921875,452.94223122337667,439.33582582942404,444.9463452930545,5768678
2016-04-12,451.2056884765625,456.05287637000106,449.831699701532,450.5568746797745,5842138
