Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2014-01-01,188.33409118652344,190.33651766641123,188.07980784792318,190.16699072570233,5849398
2014-01-02,185.409912109375,189.85975033947824,184.37161793684353,188.1009984891129,6023632
2014-01-03,183.13201904296875,185.06028375231588,181.17197068313305,184.6894603516891,12833897
2014-01-06,181.16139221191406,182.92014427475317,180.1125033628437,182.6764554544521,13315857
2014-01-07,178.43849182128906,182.22084494302166,178.0041011542419,181.08719987592644,17311470
2014-01-08,179.9111785888672,181.66991623009963,178.9258572014233,178.9258572014233,12726430
2014-01-09,180.2608184814453,180.91770890837037,179.06360597402696,180.20784572845577,8309185
2014-01-10,181.83944702148438,185.68536756294947,179.68868271564884,179.7628445632766,14839980
2014-01-13,186.5541229248047,187.10505357532475,183.9266042504188,183.97957699134147,12058586
2014-01-14,186.7872314453125,187.43351307902495,184.86956149724296,186.15153021567133,12075547
2014-01-15,187.6242218017578,189.64783731357366,186.68127861683803,187.46530356101596,12660424
2014-01-16,187.77256774902344,189.28763081098396,186.9037863722555,188.3129039358117,18038361
2014-01-17,187.47589111328125,190.05043724183875,186.52235341456733,188.40823971402043,15463211
2014-01-20,184.29745483398438,188.3764696475908,183.52402441229725,187.93148441311584,16576057
2014-01-21,182.87774658203125,185.11325320628717,182.65524688764717,184.91195675677793,9806364
2014-01-22,184.8695526123047,185.48405056949446,181.83942687538058,182.97307185337414,8517726
2014-01-23,183.46044921875,184.62587793107696,182.35858780219442,182.35858780219442,13767334
2014-01-24,183.8524627685547,185.33574211338518,182.4645343679419,182.65523625637732,11879019
2014-01-27,178.66098022460938,182.40096935401618,178.06767130823877,181.38386431311633,12345838
2014-01-28,179.02120971679688,181.38386498648623,178.56562994210609,179.4767894914877,11573795
2014-01-29,177.2730255126953,180.6421907652935,176.93399997929842,180.07007103276243,12374165
2014-01-30,174.81503295898438,176.69032466282573,174.22172408551745,176.17117763042657,14102043
2014-01-31,176.11819458007812,176.60555793778408,175.05871147983453,175.23881879760177,11038353
2014-02-03,173.94627380371094,175.8321459979225,173.63901773168647,175.06932430985472,8227762
2014-02-04,174.08401489257812,175.1646872760581,172.30407392336892,172.59014091660842,12362252
2014-02-05,173.17282104492188,174.0733859012824,170.97969306207162,173.77672441680144,11298451
2014-02-06,172.8761749267578,174.62431776769935,171.2445579679705,173.7555365487248,10826505
2014-02-07,172.5795135498047,174.56075059108454,171.76370506989284,174.2005218167817,8459052
2014-02-10,174.1687469482422,174.9421772754305,171.8802537569718,172.74903502027047,10345205
2014-02-11,170.63006591796875,174.8150256483215,170.1003243589991,174.3912437170852,12609169
2014-02-12,173.3105926513672,174.15818497629567,171.0856804795889,171.21281508485,9828890
2014-02-13,171.08566284179688,173.52247991605128,170.5877048775998,173.52247991605128,8657303
2014-02-14,174.18994140625,174.60314295370316,171.21278832874071,172.03919142364703,9218744
2014-02-17,172.12393188476562,174.17933073810752,171.0114760756762,173.25757678945962,9058505
2014-02-18,172.3040771484375,173.29999315105817,171.02210829214968,171.02210829214968,5741275
2014-02-19,172.11337280273438,173.75557048525482,171.6366039084637,172.27229105251575,6130140
2014-02-20,170.67245483398438,172.42061198986326,170.17449688857207,171.91205949550442,8041497
2014-02-21,171.9544677734375,172.90800563529027,170.70426834425788,171.02211901318466,6256274
2014-02-24,172.1345672607422,172.68549802205965,170.64069323151782,171.2234076437809,6800627
2014-02-25,171.75315856933594,172.90800705076975,171.11747137120605,172.54777817569413,7039336
2014-02-26,171.784912109375,173.08808407478628,171.26576506200144,171.84847940355232,13608048
2014-02-28,169.50701904296875,172.7702248510411,168.05552346346158,171.78490355053344,18949872
2014-03-03,170.2380828857422,170.95854058311116,168.9137216871467,169.53882843352096,11635479
2014-03-04,172.2616729736328,172.62190176886082,170.06854484649898,170.15330123480567,8997053
2014-03-05,171.00088500976562,173.33174215342802,170.60887258817456,172.8125951556206,11827655
2014-03-06,174.2747039794922,174.68790554160503,171.48826682613958,171.49886137529822,10172590
2014-03-07,184.22328186035156,185.1980087432872,174.81505277351556,174.81505277351556,33597187
2014-03-10,187.6242218017578,191.48075093649928,182.95189821961577,183.31212704355636,32869474
2014-03-11,185.35690307617188,188.12215076336827,184.79537790053314,187.52884194448148,12780183
2014-03-12,184.63644409179688,187.08385532732498,183.85243341956865,185.1979692630332,9431389
2014-03-13,186.37403869628906,189.59486661297436,185.3463391052149,185.40990640219772,17221827
2014-03-14,187.77256774902344,188.57776768182245,184.14911854418565,185.1980072682409,16540547
2014-03-18,189.95510864257812,192.57203327487548,188.4824237253475,188.4824237253475,19034847
2014-03-19,191.34303283691406,192.8051231708934,189.70082100810674,190.70733154740893,16376397
2014-03-20,191.97869873046875,192.29654934003696,190.31531213072768,191.04635014433202,29711945
2014-03-21,187.6984100341797,193.53617730388228,186.924993675583,192.19062690833255,22050970
2014-03-24,191.8515625,192.56141140987643,188.82143669349333,188.85322033968518,28815466
2014-03-25,186.32107543945312,186.9991407867345,184.8801741996694,186.25750813923236,31299573
2014-03-26,188.84263610839844,191.3324259207486,186.71306097256974,186.73425007118863,13811011
2014-03-27,190.86624145507812,191.74561729084502,189.03332794232244,189.61604226827674,55407935
2014-03-28,194.1294708251953,194.9346849171593,190.70733215173826,190.70733215173826,18667646
2014-03-31,197.22315979003906,199.14081559843132,193.50435992268453,194.15064155816563,18751896
2014-04-01,199.73414611816406,200.24269863537012,196.9159111022229,198.335623159616,15640608
2014-04-02,203.0397186279297,203.84493262717615,198.78059684777466,200.2426870180327,26780181
2014-04-03,201.8636932373047,204.0462268478179,199.26795808282907,202.74306906869586,26550895
2014-04-04,200.08377075195312,201.9908462706256,199.5116509253366,201.72598252910228,12513877
2014-04-07,200.0625762939453,202.3510696840401,197.9859880363194,200.03079264581385,12905249
2014-04-09,203.87672424316406,204.8408565122163,200.69827460701362,201.3021780575926,13438946
2014-04-10,205.3387908935547,206.3664903399383,203.8872953820262,204.4170369272263,10649501
2014-04-11,202.09681701660156,205.76264481669094,201.42934615964484,203.90854181467708,11691621
2014-04-15,201.11148071289062,202.14978906789645,198.46277243666123,201.30219676153231,9264526
2014-04-16,199.4586639404297,203.20924741210666,198.78059866560156,200.56052531637232,12381278
2014-04-17,203.23048400878906,203.80260392828527,199.9884522717393,200.24273564980896,7845800
2014-04-21,203.33636474609375,205.52949276298975,202.59471809584,205.52949276298975,11817203
2014-04-22,205.06333923339844,209.51317714993408,202.5947385739042,203.4211416917363,19331824
2014-04-23,204.9362030029297,208.08286892305213,204.32170501647877,205.32821546055231,15288495
2014-04-24,204.9362030029297,204.9362030029297,204.9362030029297,204.9362030029297,0
2014-04-25,200.93136596679688,205.3282314450188,200.454597080124,205.11634044868697,13252156
2014-04-28,200.24270629882812,202.57356384068635,199.46927587153382,201.2598113721657,16610579
2014-04-29,199.24679565429688,201.67301835442606,198.75943220424875,200.46519720695377,8396497
2014-04-30,198.29322814941406,203.4211310843896,196.87351621239284,200.00958744511385,14391181
2014-05-02,196.66165161132812,200.7512754885091,196.2166804816416,199.18323954911688,9070553
2014-05-05,200.63470458984375,203.10330542374447,196.00475901189913,196.00475901189913,15199246
2014-05-06,204.13099670410156,204.90441290106568,200.78302031367704,200.85718215428355,12392211
2014-05-07,203.60125732421875,205.83677799513904,202.7960574166478,203.44233908159143,10571569
2014-05-08,203.48472595214844,205.56131432401978,201.46111033007722,204.07803489483646,11949181
2014-05-09,211.3884735107422,211.68513503626264,202.53117568146405,202.53117568146405,18452114
2014-05-12,217.9784698486328,222.27998422654525,210.64684360558905,210.8163563966661,30847764
2014-05-13,225.33131408691406,226.47556793637074,219.20749436924697,220.3729231740487,26863271
2014-05-14,221.53834533691406,226.30601975505743,220.6059967225839,225.45844167878718,19375695
2014-05-15,223.21234130859375,224.6108643226451,220.21399883347453,221.5383599986251,20864719
2014-05-16,230.94638061523438,245.06957557813908,227.27649374196167,233.26815394252677,52633579
2014-05-19,239.6770782470703,240.68282094407036,232.58336965123445,233.4607233106161,23797958
2014-05-20,231.0747833251953,241.5922865594903,230.18674475731203,241.356906628954,22509088
2014-05-21,230.76451110839844,236.01790606965412,229.76946737277603,231.07478465498184,21991587
2014-05-22,235.5578155517578,238.25407121073826,232.112609510502,232.39080005988717,18745180
2014-05-23,241.26058959960938,242.2342493942869,235.81461133634542,237.85819414210155,16566818
2014-05-26,235.7504425048828,243.94615851111416,230.03695786832498,242.34126667734694,16073584
2014-05-27,232.80809020996094,237.09853862884202,230.05833897997067,236.0286012960313,11273379
2014-05-28,233.01136779785156,236.7989590152077,232.12331497424032,233.16115502152232,11351815
2014-05-29,229.72669982910156,233.9743524995745,228.61395170349942,233.78176889478667,27659174
2014-05-30,227.8328857421875,233.18257273799932,226.82714287283525,232.17684415314412,17293884
2014-06-02,231.57765197753906,232.87228443356764,227.9612603690531,229.9834450680301,8806299
2014-06-03,234.40228271484375,235.8146050497692,230.5397980388838,231.8130322430614,10874352
2014-06-04,230.57191467285156,235.77182851177793,230.3044374758626,233.81383829183292,8826406
2014-06-05,233.22535705566406,234.29529433408143,227.73656824685625,230.78589377569443,19974435
2014-06-06,240.1799774169922,242.44824114897506,236.26399704006363,236.97015111325732,29319340
2014-06-09,240.23345947265625,242.38404753242386,237.97589481990806,241.80626822505587,13497804
2014-06-10,239.30262756347656,241.90257734134306,235.48293891354535,241.90257734134306,15760599
2014-06-11,235.83602905273438,239.66640260276367,233.7817469894904,239.66640260276367,15164409
2014-06-12,234.13479614257812,238.27547145095116,231.98422247661009,235.07634438551327,11767348
2014-06-13,231.51344299316406,236.8845417745802,229.5447538552584,235.4508212689754,14646904
2014-06-16,227.99337768554688,231.9628538192742,226.21728613020514,231.9628538192742,14371376
2014-06-17,233.2574462890625,233.9529012107501,226.42052988819313,226.42052988819313,15824961
2014-06-18,228.2715606689453,235.73973850625933,226.96622905396035,232.81880171822934,19212704
