Price,Close,High,Low,Open,Volume
Ticker,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS
Date,,,,,
2014-01-01,155.03515625,155.9003426147356,154.70137468713887,155.6456103474798,5904780
2014-01-02,153.063232421875,158.63205314476272,152.14974258433062,155.10981582054558,19451900
2014-01-03,151.04739379882812,152.4835230646238,150.2876198718886,151.69298987360145,13759590
2014-01-06,148.28054809570312,151.42946549160757,147.74035113281835,151.24501714516867,13907830
2014-01-07,145.93093872070312,149.49708328014665,145.36878805225973,148.69777131951852,17352910
2014-01-08,145.5576171875,147.3846100183518,145.0174336489705,146.18125951161963,14248790
2014-01-09,144.03366088867188,146.0494981652823,143.17287069492627,145.19310406625914,14791100
2014-01-10,141.253662109375,145.4566237747581,140.53779556876006,144.01171581130276,20473070
2014-01-13,144.16107177734375,144.49923610778615,141.42936715454726,141.42936715454726,15564850
2014-01-14,142.9532928466797,144.84176416528308,142.58877882663697,143.612063781457,10197000
2014-01-15,144.1127471923828,145.6323085125336,143.3485637354997,143.3485637354997,13624980
2014-01-16,143.7174530029297,145.083311616944,143.38806755809148,144.41574853765928,7241970
2014-01-17,142.43067932128906,144.4465169501302,142.0310233108212,143.5725517222357,11207380
2014-01-20,144.2137451171875,144.5694803646144,142.0002709310749,142.43067278476417,9468650
2014-01-21,145.7640380859375,146.92348130027602,144.59581608460365,145.27215795963446,12351890
2014-01-22,144.65289306640625,145.62787440637743,143.63399099166173,145.28091802521263,9821920
2014-01-23,145.6586456298828,146.07147648374576,143.71307870538266,143.96340147200814,9241310
2014-01-24,142.39991760253906,146.23836527218947,142.1188489797716,144.84176073743973,16616560
2014-01-27,140.0546875,140.88912794063046,139.04896019592402,140.35332708460828,15688040
2014-01-28,140.2128143310547,142.99721795879628,138.6273652634951,140.80569746828652,18296910
2014-01-29,138.22332763671875,142.45262594115283,137.902720944572,141.67967712869535,17594550
2014-01-30,133.21226501464844,136.8486799067583,132.63693949133932,136.5851688618489,20955320
2014-01-31,133.8490753173828,135.17979208557318,132.89606085910586,134.43319305879177,13174950
2014-02-03,130.7308807373047,134.3014073647603,130.43662387043088,133.9500682844492,14150230
2014-02-04,133.10687255859375,133.68659426397036,128.8380358782641,129.47045711999667,18002040
2014-02-05,133.66026306152344,134.3805258990492,131.85084058073951,133.41432292254692,13227190
2014-02-06,132.1802215576172,135.0831996774247,131.17889005422407,133.69540039953597,16116300
2014-02-07,134.17848205566406,134.8021245441545,132.06164127694302,133.51532831540447,18203400
2014-02-10,132.99267578125,134.6396030717765,132.39538318113352,134.42001276637296,10494640
2014-02-11,133.4845733642578,134.16969413442794,133.0278217165676,133.06734636837777,7118720
2014-02-12,134.60887145996094,135.26764244589876,133.339632927077,134.1345622472869,15539930
2014-02-13,131.802490234375,134.8987216657934,131.40723035452322,134.6527815893199,13251910
2014-02-14,129.56704711914062,133.0541419220765,127.8103248366632,131.95619049552812,45823350
2014-02-17,129.43533325195312,130.42788589837932,128.52622600869006,129.11912261963255,16601150
2014-02-18,131.83766174316406,132.61500679455077,129.2157523020095,129.7339823362673,13981720
2014-02-19,132.46128845214844,133.07175607670263,131.57854433262588,131.74543514805026,9753850
2014-02-20,130.05015563964844,131.84640266477004,129.67684945337382,131.4906674550583,10363320
2014-02-21,131.93865966796875,132.193378553362,130.43665591477915,130.43665591477915,9430050
2014-02-24,132.6764678955078,133.28253929514685,130.80555416666192,131.82006032597806,10295950
2014-02-25,132.2812042236328,133.59874604497287,131.67513284137982,133.2473935176451,9445490
2014-02-26,133.54603576660156,134.81087808464954,132.21971513175532,132.63254598286065,31769610
2014-02-28,134.6747283935547,135.2149253568742,133.3352329238095,134.3189931795508,13109410
2014-03-03,133.36599731445312,136.9013962768335,133.0805191624234,134.38928235808302,16179310
2014-03-04,136.17674255371094,136.5720024442082,133.07173225119467,133.33524331243598,17249460
2014-03-05,138.48245239257812,138.95676162004372,135.26764666429096,137.0243693482428,25001030
2014-03-06,138.55270385742188,139.08850473846437,137.20002007124242,139.08850473846437,22604310
2014-03-07,144.8988494873047,146.19883368945787,138.98308637755167,139.13240617048925,51525570
2014-03-10,148.63186645507812,150.28758566327076,144.0512166543399,144.40255572411357,44180640
2014-03-11,148.42364501953125,152.61546189009863,147.64820501054433,149.7706988786138,25625230
2014-03-12,145.79156494140625,148.35273172619418,145.11804483807975,147.04999155484745,17206710
